dataset,episode_id,task,mode,mode_label,level,duration_sec,duration_bucket_abs,task_progress,mean_l2,task_success
DROID,1608,Press the middle white key on the keyboard,val_llm,llm_val,L1,7.266666666666667,0-30s,0.4,0.09652602947406615,False
DROID,1328,Press the top switch on the stove,task_token_only,original,L1,9.0,0-30s,0.7,0.037545130875915406,True
DROID,1328,Press the top switch on the stove,dual_llm,llm_dual,L1,9.0,0-30s,0.4,0.05542616665056351,False
DROID,1328,Press the top switch on the stove,val_llm,llm_val,L1,9.0,0-30s,0.4,0.09663785909951673,False
DROID,1071,Push the right switch down,task_token_only,original,L1,6.2,0-30s,0.8,0.12638301073413072,True
DROID,1071,Push the right switch down,dual_llm,llm_dual,L1,6.2,0-30s,0.4,0.140190364115533,False
DROID,1071,Push the right switch down,val_llm,llm_val,L1,6.2,0-30s,0.7,0.11871294232188677,True
DROID,1727,Put the purple plush toy on the bowl,task_token_only,original,L1,5.133333333333334,0-30s,0.7,0.06322112738963655,True
DROID,1727,Put the purple plush toy on the bowl,dual_llm,llm_dual,L1,5.133333333333334,0-30s,0.4,0.07469942633084452,False
DROID,1727,Put the purple plush toy on the bowl,val_llm,llm_val,L1,5.133333333333334,0-30s,0.8,0.07573594354751885,True
DROID,1510,Press down the sauce sachet,task_token_only,original,L1,8.866666666666667,0-30s,0.7,0.10329765517336376,True
DROID,1510,Press down the sauce sachet,dual_llm,llm_dual,L1,8.866666666666667,0-30s,0.3,0.12974838247401274,False
DROID,1510,Press down the sauce sachet,val_llm,llm_val,L1,8.866666666666667,0-30s,0.8,0.08774377547508977,True
DROID,1682,Put the book in the green bowl,task_token_only,original,L1,8.133333333333333,0-30s,0.4,0.084821892990538,False
DROID,1682,Put the book in the green bowl,dual_llm,llm_dual,L1,8.133333333333333,0-30s,0.4,0.1581747036572099,False
DROID,1682,Put the book in the green bowl,val_llm,llm_val,L1,8.133333333333333,0-30s,0.9,0.12460526911758123,True
DROID,1643,Close the grill sandwich maker,task_token_only,original,L1,8.466666666666667,0-30s,0.4,0.11024506295892167,False
DROID,1643,Close the grill sandwich maker,dual_llm,llm_dual,L1,8.466666666666667,0-30s,0.3,0.07949225393853929,False
DROID,1643,Close the grill sandwich maker,val_llm,llm_val,L1,8.466666666666667,0-30s,0.4,0.09821108037009348,False
DROID,1748,Put the green plushie on the orange plate,task_token_only,original,L1,6.133333333333334,0-30s,0.9,0.06482985373522375,True
DROID,1748,Put the green plushie on the orange plate,dual_llm,llm_dual,L1,6.133333333333334,0-30s,0.4,0.05610326114775543,False
DROID,1748,Put the green plushie on the orange plate,val_llm,llm_val,L1,6.133333333333334,0-30s,0.7,0.07706641117538561,True
DROID,1247,Move the cup backwards,task_token_only,original,L1,6.0,0-30s,0.7,0.07483523138839855,True
DROID,1247,Move the cup backwards,dual_llm,llm_dual,L1,6.0,0-30s,0.7,0.10775835649240907,True
DROID,1247,Move the cup backwards,val_llm,llm_val,L1,6.0,0-30s,0.7,0.06066477443891968,True
DROID,1042,Put the pen inside the white bowl,task_token_only,original,L1,7.333333333333333,0-30s,0.9,0.07930781929820135,True
DROID,1042,Put the pen inside the white bowl,dual_llm,llm_dual,L1,7.333333333333333,0-30s,0.9,0.11897135130057297,True
DROID,1042,Put the pen inside the white bowl,val_llm,llm_val,L1,7.333333333333333,0-30s,0.9,0.10044029814614486,True
DROID,1486,Take the marker out of the cup and put it on the table,task_token_only,original,L1,9.933333333333334,0-30s,0.7,0.11296568474868378,True
DROID,1486,Take the marker out of the cup and put it on the table,dual_llm,llm_dual,L1,9.933333333333334,0-30s,0.4,0.07438636284123516,False
DROID,1486,Take the marker out of the cup and put it on the table,val_llm,llm_val,L1,9.933333333333334,0-30s,0.4,0.07438636284123516,False
DROID,1090,Move the paper to the left,task_token_only,original,L1,7.466666666666667,0-30s,0.7,0.11300779776685198,True
DROID,1090,Move the paper to the left,dual_llm,llm_dual,L1,7.466666666666667,0-30s,0.7,0.11350430370518198,True
DROID,1090,Move the paper to the left,val_llm,llm_val,L1,7.466666666666667,0-30s,0.4,0.11658352097957858,False
DROID,1852,Put the marker in the mug,task_token_only,original,L1,8.666666666666666,0-30s,0.4,0.15865520529857458,False
DROID,1852,Put the marker in the mug,dual_llm,llm_dual,L1,8.666666666666666,0-30s,0.7,0.12435428451740865,True
DROID,1852,Put the marker in the mug,val_llm,llm_val,L1,8.666666666666666,0-30s,0.7,0.10384370438630774,True
DROID,1478,Remove the black spoon from the cutlery box,task_token_only,original,L1,10.0,0-30s,0.7,0.14028226485038062,True
DROID,1478,Remove the black spoon from the cutlery box,dual_llm,llm_dual,L1,10.0,0-30s,0.9,0.1396225646093455,True
DROID,1478,Remove the black spoon from the cutlery box,val_llm,llm_val,L1,10.0,0-30s,0.4,0.11731167529964219,False
DROID,1249,Put the orange object into the black bowl.,task_token_only,original,L1,4.266666666666667,0-30s,0.4,0.09345694221845889,False
DROID,1249,Put the orange object into the black bowl.,dual_llm,llm_dual,L1,4.266666666666667,0-30s,0.4,0.07825326435661616,False
DROID,1249,Put the orange object into the black bowl.,val_llm,llm_val,L1,4.266666666666667,0-30s,0.4,0.060191864325605894,False
DROID,1305,Put the green cube in the black bowl,task_token_only,original,L1,3.466666666666667,0-30s,0.4,0.21504940483479004,False
DROID,1305,Put the green cube in the black bowl,dual_llm,llm_dual,L1,3.466666666666667,0-30s,0.4,0.09952830792748883,False
DROID,1305,Put the green cube in the black bowl,val_llm,llm_val,L1,3.466666666666667,0-30s,0.7,0.13782901987830878,True
DROID,1831,Move the plastic corn to the right,task_token_only,original,L1,4.8,0-30s,0.8,0.08206444980887975,True
DROID,1831,Move the plastic corn to the right,dual_llm,llm_dual,L1,4.8,0-30s,0.0,0.10474102243705952,False
DROID,1831,Move the plastic corn to the right,val_llm,llm_val,L1,4.8,0-30s,0.4,0.06555212951859964,False
DROID,1891,Put the lunchbox in the wooden bowl,task_token_only,original,L1,6.866666666666666,0-30s,0.7,0.10202580794493227,True
DROID,1891,Put the lunchbox in the wooden bowl,dual_llm,llm_dual,L1,6.866666666666666,0-30s,0.7,0.094542014403259,True
DROID,1891,Put the lunchbox in the wooden bowl,val_llm,llm_val,L1,6.866666666666666,0-30s,0.7,0.0976758260099922,True
DROID,1667,Put the red marker inside the mug,task_token_only,original,L1,10.4,0-30s,0.7,0.17769807021955644,True
DROID,1667,Put the red marker inside the mug,dual_llm,llm_dual,L1,10.4,0-30s,0.7,0.16584039674499054,True
DROID,1667,Put the red marker inside the mug,val_llm,llm_val,L1,10.4,0-30s,0.7,0.15326213654314821,True
DROID,1131,Move the towel to the right,task_token_only,original,L1,4.6,0-30s,0.7,0.1460139170069681,True
DROID,1131,Move the towel to the right,dual_llm,llm_dual,L1,4.6,0-30s,0.7,0.14951148072314954,True
DROID,1131,Move the towel to the right,val_llm,llm_val,L1,4.6,0-30s,0.7,0.1419487823519565,True
DROID,1863,Turn on the big switch on the adapter,task_token_only,original,L1,7.466666666666667,0-30s,0.7,0.11517665028298296,True
DROID,1863,Turn on the big switch on the adapter,dual_llm,llm_dual,L1,7.466666666666667,0-30s,0.8,0.12167750527926546,True
DROID,1863,Turn on the big switch on the adapter,val_llm,llm_val,L1,7.466666666666667,0-30s,0.9,0.13445629328425787,True
DROID,1502,Put the yellow block in the white bowl,task_token_only,original,L1,7.666666666666667,0-30s,0.9,0.15215476536474085,True
DROID,1502,Put the yellow block in the white bowl,dual_llm,llm_dual,L1,7.666666666666667,0-30s,0.9,0.1076022394361924,True
DROID,1502,Put the yellow block in the white bowl,val_llm,llm_val,L1,7.666666666666667,0-30s,1.0,0.1121886907725581,True
DROID,1783,Put one orange block in the green bowl,task_token_only,original,L1,9.666666666666666,0-30s,0.7,0.08807462400045966,True
DROID,1783,Put one orange block in the green bowl,dual_llm,llm_dual,L1,9.666666666666666,0-30s,0.7,0.09493223953163092,True
DROID,1783,Put one orange block in the green bowl,val_llm,llm_val,L1,9.666666666666666,0-30s,0.4,0.09819837769505414,False
DROID,1893,Put the marker in the bowl,task_token_only,original,L1,9.2,0-30s,0.4,0.04402600563032596,False
DROID,1893,Put the marker in the bowl,dual_llm,llm_dual,L1,9.2,0-30s,0.4,0.05600212285382574,False
DROID,1893,Put the marker in the bowl,val_llm,llm_val,L1,9.2,0-30s,0.7,0.055334953119853,True
DROID,1367,Move the black thing to the right,task_token_only,original,L1,10.466666666666667,0-30s,0.4,0.14795387679885832,False
DROID,1367,Move the black thing to the right,dual_llm,llm_dual,L1,10.466666666666667,0-30s,0.4,0.12099341051602237,False
DROID,1367,Move the black thing to the right,val_llm,llm_val,L1,10.466666666666667,0-30s,0.4,0.24196087958818233,False
DROID,1164,Push the f twelve key on the keyboard,task_token_only,original,L1,10.4,0-30s,0.7,0.06230182975265266,True
DROID,1164,Push the f twelve key on the keyboard,dual_llm,llm_dual,L1,10.4,0-30s,0.7,0.10497824980377636,True
DROID,1164,Push the f twelve key on the keyboard,val_llm,llm_val,L1,10.4,0-30s,0.4,0.0831126421334158,False
DROID,1400,Put the top wooden piece on the table,task_token_only,original,L1,9.0,0-30s,0.4,0.15742493013665704,False
DROID,1400,Put the top wooden piece on the table,dual_llm,llm_dual,L1,9.0,0-30s,0.3,0.08206962980311593,False
DROID,1400,Put the top wooden piece on the table,val_llm,llm_val,L1,9.0,0-30s,0.4,0.09918518084122296,False
DROID,1399,Put the marker in the mug,task_token_only,original,L1,8.733333333333333,0-30s,0.4,0.12758902123153398,False
DROID,1399,Put the marker in the mug,dual_llm,llm_dual,L1,8.733333333333333,0-30s,0.4,0.1935136937909352,False
DROID,1399,Put the marker in the mug,val_llm,llm_val,L1,8.733333333333333,0-30s,0.7,0.10362720540012903,True
DROID,1791,Turn on the light switch on the wall,task_token_only,original,L1,9.8,0-30s,0.7,0.08443542018522161,True
DROID,1791,Turn on the light switch on the wall,dual_llm,llm_dual,L1,9.8,0-30s,0.4,0.08156472422231764,False
DROID,1791,Turn on the light switch on the wall,val_llm,llm_val,L1,9.8,0-30s,0.8,0.08969654079123113,True
DROID,1314,Place the orange block on the green one,task_token_only,original,L1,7.133333333333334,0-30s,0.7,0.07332940985506747,True
DROID,1314,Place the orange block on the green one,dual_llm,llm_dual,L1,7.133333333333334,0-30s,0.4,0.10050068145324907,False
DROID,1314,Place the orange block on the green one,val_llm,llm_val,L1,7.133333333333334,0-30s,0.7,0.08251278331021825,True
DROID,1150,Turn on the right light switch,task_token_only,original,L1,7.0,0-30s,0.4,0.12042536365797929,False
DROID,1150,Turn on the right light switch,dual_llm,llm_dual,L1,7.0,0-30s,0.4,0.11950155073625814,False
DROID,1150,Turn on the right light switch,val_llm,llm_val,L1,7.0,0-30s,0.4,0.1326564151121535,False
DROID,1206,Put the black marker inside the pot,task_token_only,original,L1,10.2,0-30s,0.7,0.14653781989478906,True
DROID,1206,Put the black marker inside the pot,dual_llm,llm_dual,L1,10.2,0-30s,0.4,0.10508569171594374,False
DROID,1206,Put the black marker inside the pot,val_llm,llm_val,L1,10.2,0-30s,0.4,0.09648472320069738,False
DROID,1749,Press a button on the back of the sound bar,task_token_only,original,L1,7.666666666666667,0-30s,0.4,0.16516270952694112,False
DROID,1749,Press a button on the back of the sound bar,dual_llm,llm_dual,L1,7.666666666666667,0-30s,0.4,0.12338883158150393,False
DROID,1749,Press a button on the back of the sound bar,val_llm,llm_val,L1,7.666666666666667,0-30s,0.4,0.12251638764800081,False
DROID,1726,Close the drawer of the small box.,task_token_only,original,L1,6.066666666666666,0-30s,0.7,0.11323514904570309,True
DROID,1726,Close the drawer of the small box.,dual_llm,llm_dual,L1,6.066666666666666,0-30s,0.4,0.12074467178282773,False
DROID,1726,Close the drawer of the small box.,val_llm,llm_val,L1,6.066666666666666,0-30s,0.4,0.11548837457074075,False
DROID,1790,Put the green block in the black bowl,task_token_only,original,L1,9.6,0-30s,0.7,0.10611095042079673,True
DROID,1790,Put the green block in the black bowl,dual_llm,llm_dual,L1,9.6,0-30s,0.9,0.09501466731977255,True
DROID,1790,Put the green block in the black bowl,val_llm,llm_val,L1,9.6,0-30s,0.9,0.10463280333293508,True
DROID,1250,Move the mug forward.,task_token_only,original,L1,9.666666666666666,0-30s,0.7,0.09575149485946706,True
DROID,1250,Move the mug forward.,dual_llm,llm_dual,L1,9.666666666666666,0-30s,0.7,0.13404382163997997,True
DROID,1250,Move the mug forward.,val_llm,llm_val,L1,9.666666666666666,0-30s,0.7,0.09865334161282523,True
DROID,1565,Move the gray towel to the left,task_token_only,original,L1,4.733333333333333,0-30s,0.7,0.16115556129137001,True
DROID,1565,Move the gray towel to the left,dual_llm,llm_dual,L1,4.733333333333333,0-30s,0.7,0.15731343234071732,True
DROID,1565,Move the gray towel to the left,val_llm,llm_val,L1,4.733333333333333,0-30s,0.7,0.17073604520479221,True
DROID,1724,Move the green bowl to the left side of the desk,task_token_only,original,L1,5.333333333333333,0-30s,0.4,0.11384940659536745,False
DROID,1724,Move the green bowl to the left side of the desk,dual_llm,llm_dual,L1,5.333333333333333,0-30s,0.7,0.11875072684863641,True
DROID,1724,Move the green bowl to the left side of the desk,val_llm,llm_val,L1,5.333333333333333,0-30s,0.4,0.11139175653696755,False
DROID,1159,Move the blue bowl of candy to the right,task_token_only,original,L1,9.0,0-30s,0.4,0.12866719914851446,False
DROID,1159,Move the blue bowl of candy to the right,dual_llm,llm_dual,L1,9.0,0-30s,0.4,0.105487923931043,False
DROID,1159,Move the blue bowl of candy to the right,val_llm,llm_val,L1,9.0,0-30s,0.7,0.1201529173387242,True
DROID,1345,Move the mug forward,task_token_only,original,L1,5.4,0-30s,0.6,0.12664914912236253,True
DROID,1345,Move the mug forward,dual_llm,llm_dual,L1,5.4,0-30s,0.7,0.12760160724622815,True
DROID,1345,Move the mug forward,val_llm,llm_val,L1,5.4,0-30s,0.4,0.15102554163425438,False
DROID,1236,Move the grey towel to the right,task_token_only,original,L1,4.933333333333334,0-30s,0.8,0.07458407949696932,True
DROID,1236,Move the grey towel to the right,dual_llm,llm_dual,L1,4.933333333333334,0-30s,0.7,0.06639050048963364,True
DROID,1236,Move the grey towel to the right,val_llm,llm_val,L1,4.933333333333334,0-30s,0.8,0.06270956394935068,True
DROID,1232,Press a button on the air cooler,task_token_only,original,L1,7.933333333333334,0-30s,0.4,0.2029175192158377,False
DROID,1232,Press a button on the air cooler,dual_llm,llm_dual,L1,7.933333333333334,0-30s,0.3,0.15517260147753636,False
DROID,1232,Press a button on the air cooler,val_llm,llm_val,L1,7.933333333333334,0-30s,0.4,0.1783479173029646,False
DROID,1337,Put the blue ring in the box,task_token_only,original,L1,9.466666666666667,0-30s,0.4,0.07583905214540214,False
DROID,1337,Put the blue ring in the box,dual_llm,llm_dual,L1,9.466666666666667,0-30s,0.4,0.06725347286784267,False
DROID,1337,Put the blue ring in the box,val_llm,llm_val,L1,9.466666666666667,0-30s,0.4,0.07950467126326864,False
DROID,1284,Close the top drawer,task_token_only,original,L1,3.1333333333333333,0-30s,0.7,0.1810764484092472,True
DROID,1284,Close the top drawer,dual_llm,llm_dual,L1,3.1333333333333333,0-30s,0.4,0.15067912142984097,False
DROID,1284,Close the top drawer,val_llm,llm_val,L1,3.1333333333333333,0-30s,0.4,0.14994804076796595,False
DROID,1937,Move the blue marker to the right,task_token_only,original,L1,6.933333333333334,0-30s,0.4,0.13545454012055771,False
DROID,1937,Move the blue marker to the right,dual_llm,llm_dual,L1,6.933333333333334,0-30s,0.8,0.09319338723134124,True
DROID,1937,Move the blue marker to the right,val_llm,llm_val,L1,6.933333333333334,0-30s,0.4,0.11493569962779353,False
DROID,1906,Put the marker inside the cup,task_token_only,original,L1,10.4,0-30s,0.4,0.13435957655884878,False
DROID,1906,Put the marker inside the cup,dual_llm,llm_dual,L1,10.4,0-30s,0.4,0.1095809565476847,False
DROID,1906,Put the marker inside the cup,val_llm,llm_val,L1,10.4,0-30s,0.4,0.10562958803845823,False
DROID,1264,Put the calculator on the tray,task_token_only,original,L1,7.133333333333334,0-30s,0.4,0.12881547751151243,False
DROID,1264,Put the calculator on the tray,dual_llm,llm_dual,L1,7.133333333333334,0-30s,0.4,0.16769621800457424,False
DROID,1264,Put the calculator on the tray,val_llm,llm_val,L1,7.133333333333334,0-30s,0.4,0.13619197557683288,False
DROID,1340,Move the blue cup on the left to the right,task_token_only,original,L1,7.666666666666667,0-30s,0.4,0.11728312894546274,False
DROID,1340,Move the blue cup on the left to the right,dual_llm,llm_dual,L1,7.666666666666667,0-30s,0.4,0.07230677917045202,True
DROID,1340,Move the blue cup on the left to the right,val_llm,llm_val,L1,7.666666666666667,0-30s,0.4,0.07425879670730227,False
DROID,1234,Move the mug to the left of the marker,task_token_only,original,L1,8.933333333333334,0-30s,0.4,0.11484334971984783,False
DROID,1234,Move the mug to the left of the marker,dual_llm,llm_dual,L1,8.933333333333334,0-30s,0.7,0.12522169292247845,True
DROID,1234,Move the mug to the left of the marker,val_llm,llm_val,L1,8.933333333333334,0-30s,0.4,0.09923254626085842,False
DROID,1114,Close the lid of the bowl,task_token_only,original,L1,9.533333333333333,0-30s,0.7,0.15499507126422615,True
DROID,1114,Close the lid of the bowl,dual_llm,llm_dual,L1,9.533333333333333,0-30s,0.4,0.09572857728103933,False
DROID,1114,Close the lid of the bowl,val_llm,llm_val,L1,9.533333333333333,0-30s,0.4,0.10960976989045002,False
DROID,1218,Move the grey bear backwards,task_token_only,original,L1,8.133333333333333,0-30s,0.4,0.1487057363639821,False
DROID,1218,Move the grey bear backwards,dual_llm,llm_dual,L1,8.133333333333333,0-30s,0.4,0.08045849382599059,False
DROID,1218,Move the grey bear backwards,val_llm,llm_val,L1,8.133333333333333,0-30s,0.4,0.13001665535970053,False
DROID,1273,Move the blue sponge forwards,task_token_only,original,L1,8.666666666666666,0-30s,0.4,0.17140212084737516,False
DROID,1273,Move the blue sponge forwards,dual_llm,llm_dual,L1,8.666666666666666,0-30s,0.4,0.1834765825078417,False
DROID,1273,Move the blue sponge forwards,val_llm,llm_val,L1,8.666666666666666,0-30s,0.7,0.15864683270150398,True
DROID,1734,Move the blue cup closer to you,task_token_only,original,L1,6.6,0-30s,0.7,0.12487335794762572,True
DROID,1734,Move the blue cup closer to you,dual_llm,llm_dual,L1,6.6,0-30s,0.6,0.11513322370595158,True
DROID,1734,Move the blue cup closer to you,val_llm,llm_val,L1,6.6,0-30s,0.4,0.12252314804498804,False
DROID,1691,Put the orange item into the desk shelf,task_token_only,original,L1,7.466666666666667,0-30s,0.4,0.31014661651945136,False
DROID,1691,Put the orange item into the desk shelf,dual_llm,llm_dual,L1,7.466666666666667,0-30s,0.9,0.29745441724812904,True
DROID,1691,Put the orange item into the desk shelf,val_llm,llm_val,L1,7.466666666666667,0-30s,0.7,0.3074049931295864,True
DROID,1492,Put the stuffed toy on the blanket,task_token_only,original,L1,8.133333333333333,0-30s,0.4,0.10091312258406822,False
DROID,1492,Put the stuffed toy on the blanket,dual_llm,llm_dual,L1,8.133333333333333,0-30s,0.7,0.08281318676839287,True
DROID,1492,Put the stuffed toy on the blanket,val_llm,llm_val,L1,8.133333333333333,0-30s,0.8,0.10024577491515285,True
DROID,1910,Put the silver knife in the open drawer.,task_token_only,original,L1,9.466666666666667,0-30s,0.3,0.22004234684568633,False
DROID,1910,Put the silver knife in the open drawer.,dual_llm,llm_dual,L1,9.466666666666667,0-30s,0.3,0.1915042182743083,False
DROID,1910,Put the silver knife in the open drawer.,val_llm,llm_val,L1,9.466666666666667,0-30s,0.4,0.23357969072124685,False
DROID,1452,Remove the spoon out of the glass cup,task_token_only,original,L1,10.133333333333333,0-30s,0.4,0.11381512497149492,False
DROID,1452,Remove the spoon out of the glass cup,dual_llm,llm_dual,L1,10.133333333333333,0-30s,0.7,0.1065832204416554,True
DROID,1452,Remove the spoon out of the glass cup,val_llm,llm_val,L1,10.133333333333333,0-30s,0.3,0.10222119342369292,False
DROID,1311,Remove the orange block from the top of the stack.,task_token_only,original,L1,5.733333333333333,0-30s,0.7,0.08339522701039971,True
DROID,1311,Remove the orange block from the top of the stack.,dual_llm,llm_dual,L1,5.733333333333333,0-30s,0.4,0.11165891783617334,False
DROID,1311,Remove the orange block from the top of the stack.,val_llm,llm_val,L1,5.733333333333333,0-30s,0.4,0.10833735787350439,False
DROID,1978,Take the marker out of the mug and put it on the table,task_token_only,original,L1,11.266666666666667,0-30s,0.4,0.14688567735238836,False
DROID,1978,Take the marker out of the mug and put it on the table,dual_llm,llm_dual,L1,11.266666666666667,0-30s,0.0,0.15583038944573127,False
DROID,1978,Take the marker out of the mug and put it on the table,val_llm,llm_val,L1,11.266666666666667,0-30s,0.0,0.15583038944573127,False
DROID,1091,Press a button on the pressing iron,task_token_only,original,L1,8.866666666666667,0-30s,0.6,0.16233299140136379,True
DROID,1091,Press a button on the pressing iron,dual_llm,llm_dual,L1,8.866666666666667,0-30s,0.7,0.15698619389080137,True
DROID,1091,Press a button on the pressing iron,val_llm,llm_val,L1,8.866666666666667,0-30s,0.4,0.14922895176443343,False
DROID,1782,Press the button on top of the breakfast maker,task_token_only,original,L1,11.0,0-30s,0.7,0.04869636876291166,True
DROID,1782,Press the button on top of the breakfast maker,dual_llm,llm_dual,L1,11.0,0-30s,0.4,0.07947009648010502,False
DROID,1782,Press the button on top of the breakfast maker,val_llm,llm_val,L1,11.0,0-30s,0.4,0.05366418807638009,False
DROID,1544,Press the orange button on the stove,task_token_only,original,L1,9.933333333333334,0-30s,0.7,0.06929372177781783,True
DROID,1544,Press the orange button on the stove,dual_llm,llm_dual,L1,9.933333333333334,0-30s,0.7,0.04441137944454986,True
DROID,1544,Press the orange button on the stove,val_llm,llm_val,L1,9.933333333333334,0-30s,0.4,0.09480416558902577,False
DROID,1133,Put the green thing into the bowl,task_token_only,original,L1,10.866666666666667,0-30s,0.4,0.09573539271830193,False
DROID,1133,Put the green thing into the bowl,dual_llm,llm_dual,L1,10.866666666666667,0-30s,0.4,0.09001353890525081,False
DROID,1133,Put the green thing into the bowl,val_llm,llm_val,L1,10.866666666666667,0-30s,0.4,0.07833745634420368,False
DROID,1424,Put the marker in the silver pot,task_token_only,original,L1,8.933333333333334,0-30s,0.4,0.0405305576945146,False
DROID,1424,Put the marker in the silver pot,dual_llm,llm_dual,L1,8.933333333333334,0-30s,0.4,0.054930613365629925,False
DROID,1424,Put the marker in the silver pot,val_llm,llm_val,L1,8.933333333333334,0-30s,0.4,0.04086925895215771,False
DROID,1443,Turn off the light switch.,task_token_only,original,L1,4.666666666666667,0-30s,0.7,0.08149479604866557,True
DROID,1443,Turn off the light switch.,dual_llm,llm_dual,L1,4.666666666666667,0-30s,0.4,0.0847055962336607,False
DROID,1443,Turn off the light switch.,val_llm,llm_val,L1,4.666666666666667,0-30s,0.0,0.12104244226587031,False
DROID,1407,Remove the doll from the bowl,task_token_only,original,L1,6.6,0-30s,0.4,0.06826948168275176,False
DROID,1407,Remove the doll from the bowl,dual_llm,llm_dual,L1,6.6,0-30s,0.0,0.04920281998404908,False
DROID,1407,Remove the doll from the bowl,val_llm,llm_val,L1,6.6,0-30s,0.3,0.059101927580780166,False
DROID,1617,Move the plush toy from right to left.,task_token_only,original,L1,11.266666666666667,0-30s,0.7,0.0558505579739729,True
DROID,1617,Move the plush toy from right to left.,dual_llm,llm_dual,L1,11.266666666666667,0-30s,0.7,0.06304634482074307,True
DROID,1617,Move the plush toy from right to left.,val_llm,llm_val,L1,11.266666666666667,0-30s,0.7,0.06549821459611792,True
DROID,1640,Move the white mug backwards.,task_token_only,original,L1,10.466666666666667,0-30s,0.4,0.10444059360815704,False
DROID,1640,Move the white mug backwards.,dual_llm,llm_dual,L1,10.466666666666667,0-30s,0.4,0.10220494908819837,False
DROID,1640,Move the white mug backwards.,val_llm,llm_val,L1,10.466666666666667,0-30s,0.4,0.11083512350284336,False
DROID,1714,Put the can on the metal object,task_token_only,original,L1,10.8,0-30s,0.4,0.10116610791914926,False
DROID,1714,Put the can on the metal object,dual_llm,llm_dual,L1,10.8,0-30s,0.4,0.0718434894051716,False
DROID,1714,Put the can on the metal object,val_llm,llm_val,L1,10.8,0-30s,0.4,0.060554035388757754,False
DROID,1854,Move the orange plushy backwards,task_token_only,original,L1,6.6,0-30s,0.7,0.09295100197633742,True
DROID,1854,Move the orange plushy backwards,dual_llm,llm_dual,L1,6.6,0-30s,0.7,0.09517293476010151,True
DROID,1854,Move the orange plushy backwards,val_llm,llm_val,L1,6.6,0-30s,0.7,0.08994546966942919,True
DROID,1343,Turn on the right light switch,task_token_only,original,L1,4.933333333333334,0-30s,0.4,0.07077485437721688,False
DROID,1343,Turn on the right light switch,dual_llm,llm_dual,L1,4.933333333333334,0-30s,0.6,0.07634938836399235,True
DROID,1343,Turn on the right light switch,val_llm,llm_val,L1,4.933333333333334,0-30s,0.6,0.05872410729574753,True
DROID,1573,Turn on the second switch from the left side of the adapter,task_token_only,original,L1,6.8,0-30s,0.7,0.08061758059743208,True
DROID,1573,Turn on the second switch from the left side of the adapter,dual_llm,llm_dual,L1,6.8,0-30s,0.7,0.09742621389456037,True
DROID,1573,Turn on the second switch from the left side of the adapter,val_llm,llm_val,L1,6.8,0-30s,0.4,0.09747666787146608,False
